Job Name,Company Name,Job Type,Experience Required,Department,JD,City,Date Posted,Min Experience,Max Experience,Experience Category,Search Text,Extracted Skills
Full Time Sr. Backend Developer Jobs in Pakistan,"Magnus Mage (Pvt.) Ltd., Pakistan",Full Time Jobs,1 Year Job Exp.,Computer Software Jobs,"We are looking for Backend Developers (NodeJS/GOlang) against permanent positions. Required expertise includes development of all server-side logic, definition and maintenance of the central database, while ensuring high performance.Experience:1+ yea",Lahore,2021-03-15,1,1,Experienced,"Full Time Sr. Backend Developer Jobs in Pakistan We are looking for Backend Developers (NodeJS/GOlang) against permanent positions. Required expertise includes development of all server-side logic, definition and maintenance of the central database, while ensuring high performance.Experience:1+ yea",[]
Online Full Time Customer Sales Representative CSR Jobs in Pakistan,"Techative SMC(Private) Limited, Pakistan",Full Time Jobs,1 Year Job Exp.,Customer Service Jobs,Techative SMC(Private) Limited is looking for experienced and fresh Customer Sales Representative candidates to apply for a Remote and on-location Position for a US-based Final Expense Program. A good candidate must have excellent communication skill,Islamabad,2021-03-12,1,1,Experienced,Online Full Time Customer Sales Representative CSR Jobs in Pakistan Techative SMC(Private) Limited is looking for experienced and fresh Customer Sales Representative candidates to apply for a Remote and on-location Position for a US-based Final Expense Program. A good candidate must have excellent communication skill,"['Communication', 'Sales']"
Full Time Client Relationship Executive Jobs in Pakistan,"HG Markets Pvt Ltd, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,Lahore,2021-03-12,0,1,Entry Level,Full Time Client Relationship Executive Jobs in Pakistan To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,['Sales']
Full Time Business Development Executive - BDE Jobs in Pakistan,"HG Markets Pvt Ltd, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,Lahore,2021-03-12,0,1,Entry Level,Full Time Business Development Executive - BDE Jobs in Pakistan To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,"['Sales', 'Business Development']"
Full Time BDE - Business Development Executive Jobs in Pakistan,"HG Markets Pvt Ltd, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,Lahore,2021-03-05,0,1,Entry Level,Full Time BDE - Business Development Executive Jobs in Pakistan To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,"['Sales', 'Business Development']"
Full Time Assistant HR Manager Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Computer Software Job,"Looking for a go-getter, problem solving eager beaver, who will assist the HR and Admin functions in seamless running of our operations. From recruitment of exceptional talent to ensuring office facilities are running smoothly, this person will be at",Lahore,2021-03-15,1,1,Experienced,"Full Time Assistant HR Manager Job in Pakistan Looking for a go-getter, problem solving eager beaver, who will assist the HR and Admin functions in seamless running of our operations. From recruitment of exceptional talent to ensuring office facilities are running smoothly, this person will be at","['Problem Solving', 'Recruitment', 'HR']"
Online Full Time Associate Software Engineer - Backend (0-1.5 years experience) Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Engineering Job,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Islamabad,2021-03-15,1,1,Experienced,"Online Full Time Associate Software Engineer - Backend (0-1.5 years experience) Job in Pakistan What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",[]
Full Time Associate Software Engineer - Frontend (0-1.5 years experience) Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Engineering Job,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Islamabad,2021-03-15,1,1,Experienced,"Full Time Associate Software Engineer - Frontend (0-1.5 years experience) Job in Pakistan What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",[]
Online Full Time Associate Software Engineer - Fullstack (0-1.5 years experience) Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Engineering Job,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Islamabad,2021-03-15,1,1,Experienced,"Online Full Time Associate Software Engineer - Fullstack (0-1.5 years experience) Job in Pakistan What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",[]
Full Time Executive Assistant Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Admin Job,"Remotebase is looking for our C-suite’s right-hand person, to assist them in ensuring the absolute seamless running of one of the fastest growing and coolest Tech start up in town. You get to directly learn a wide range of things from them, how to st",Lahore,2021-03-15,1,1,Experienced,"Full Time Executive Assistant Job in Pakistan Remotebase is looking for our C-suite’s right-hand person, to assist them in ensuring the absolute seamless running of one of the fastest growing and coolest Tech start up in town. You get to directly learn a wide range of things from them, how to st",[]
Full Time Maketing and PR Specialist Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Computer Software Job,"Become a part of one of the fastest growing startups in Pakistan! Remotebase is a team of 40+ individuals, and just raised one of Pakistan’s largest seed rounds. We are looking for an exceptional individual to lead our Marketing and PR efforts. You w",Lahore,2021-03-15,1,1,Experienced,"Full Time Maketing and PR Specialist Job in Pakistan Become a part of one of the fastest growing startups in Pakistan! Remotebase is a team of 40+ individuals, and just raised one of Pakistan’s largest seed rounds. We are looking for an exceptional individual to lead our Marketing and PR efforts. You w",['Marketing']
Online Full Time Principal Software Engineer (8+ years of experience) Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Engineering Job,"Is capable of leading an entire team through a road mapLeads the design review processMakes architecture level decisions for the projectIs recognized for high quality, impactful technical contributions. Usually the person who sets up and maintains co",Islamabad,2021-03-15,1,1,Experienced,"Online Full Time Principal Software Engineer (8+ years of experience) Job in Pakistan Is capable of leading an entire team through a road mapLeads the design review processMakes architecture level decisions for the projectIs recognized for high quality, impactful technical contributions. Usually the person who sets up and maintains co",[]
Online Full Time Senior Software Engineer - Backend (5-8 years experience) Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Engineering Job,"Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Be a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, sys",Islamabad,2021-03-15,1,1,Experienced,"Online Full Time Senior Software Engineer - Backend (5-8 years experience) Job in Pakistan Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Be a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, sys",[]
Online Full Time Senior Software Engineer - Frontend (5-8 years experience) Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Engineering Job,"Design, develop and ship large projectsGo-to guy for all other engineersCreate influence in whichever team they're working out ofBe a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, syste",Islamabad,2021-03-15,1,1,Experienced,"Online Full Time Senior Software Engineer - Frontend (5-8 years experience) Job in Pakistan Design, develop and ship large projectsGo-to guy for all other engineersCreate influence in whichever team they're working out ofBe a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, syste",[]
Online Full Time Senior Software Engineer - Fullstack (5-8 years experience) Job in Pakistan,Unknown Company,Full Time Job,1 Year Job Exp.,Engineering Job,"Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Can be a team influencer and a team leaderParticipates effectively in cross-functional projects, like frontend, backend",Islamabad,2021-03-15,1,1,Experienced,"Online Full Time Senior Software Engineer - Fullstack (5-8 years experience) Job in Pakistan Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Can be a team influencer and a team leaderParticipates effectively in cross-functional projects, like frontend, backend",[]
