Month,count
2019-12,133
2020-01,335
2020-02,453
2020-03,314
2020-04,235
2020-05,214
2020-06,279
2020-07,317
2020-08,350
2020-09,422
2020-10,392
2020-11,350
2020-12,397
2021-01,565
2021-02,585
2021-03,284
