Company Name,count
Unknown Company,334
"ibex, Pakistan",93
"SoftNation Technologies, Pakistan",74
"HG Markets Pvt Ltd, Pakistan",48
"Mbin, Pakistan",33
"Operations PRO, Pakistan",16
"Intersoft BPO Solutions, Pakistan",15
"Spartans Global , Pakistan",15
"ICM JAPAN, Pakistan",14
"Confidential, Pakistan",14
